temperature,humidity,sound,is_anomaly
20.41,47.21,60.78,0
24.08,49.19,64.29,0
20.98,50.2,67.71,0
24.71,43.91,62.49,0
21.77,40.44,68.03,0
23.8,39.5,61.44,0
24.62,50.49,57.73,0
22.68,40.94,60.18,0
24.51,47.59,62.29,0
24.58,37.14,61.22,0
24.11,49.92,61.56,0
24.98,52.04,65.34,0
25.46,48.32,64.02,0
21.2,50.03,59.05,0
21.89,44.81,66.71,0
93.73,88.08,104.95,1
21.32,41.66,66.01,0
22.94,41.96,67.36,0
21.6,48.27,59.45,0
22.83,47.91,64.25,0
20.57,37.25,60.1,0
21.16,48.29,62.01,0
20.08,42.19,58.84,0
22.35,36.52,63.08,0
22.31,46.47,57.77,0
21.79,47.78,57.45,0
22.16,47.63,64.22,0
22.17,45.91,61.06,0
21.32,43.09,60.84,0
20.35,44.77,61.74,0
22.09,43.12,60.34,0
22.42,43.72,61.89,0
22.96,41.4,63.41,0
19.89,36.92,57.85,0
20.18,40.85,56.35,0
21.92,50.27,59.02,0
21.93,48.01,58.68,0
20.05,42.76,60.28,0
21.73,48.11,60.41,0
23.69,45.72,66.58,0
23.41,46.61,59.0,0
21.59,37.39,65.13,0
21.01,37.57,62.29,0
83.98,91.3,107.36,1
20.54,39.2,64.42,0
21.16,43.29,62.61,0
83.71,90.19,99.28,1
23.58,42.95,62.32,0
23.48,45.68,61.35,0
21.86,47.93,64.51,0
21.25,46.9,59.64,0
24.25,45.1,56.33,0
22.26,45.39,49.46,0
20.41,40.91,57.77,0
22.1,35.23,62.19,0
22.29,49.18,65.18,0
22.47,51.08,62.19,0
21.1,44.97,60.52,0
22.7,44.58,64.56,0
22.21,48.88,61.22,0
24.04,47.82,61.03,0
21.5,48.19,58.72,0
24.61,44.29,60.18,0
23.3,41.35,61.9,0
22.31,43.3,66.13,0
21.48,43.87,58.91,0
23.16,44.32,63.33,0
20.26,39.04,63.91,0
23.69,38.95,67.3,0
23.61,39.64,62.91,0
24.88,46.4,62.86,0
22.94,40.57,67.21,0
21.96,45.56,63.2,0
21.8,38.28,62.36,0
20.94,41.31,62.35,0
21.36,43.78,59.6,0
20.18,45.82,57.57,0
23.12,44.07,59.72,0
22.71,46.8,64.72,0
23.27,46.11,63.92,0
21.35,34.18,59.58,0
21.81,45.99,64.02,0
23.85,45.44,60.76,0
26.01,44.33,60.53,0
18.96,45.47,58.98,0
21.24,45.52,62.89,0
19.24,46.04,61.04,0
22.34,47.15,62.56,0
20.41,57.05,65.75,0
23.73,45.72,59.92,0
20.46,46.32,67.81,0
18.49,41.02,59.16,0
22.97,44.12,63.07,0
24.14,45.73,63.05,0
85.66,88.91,97.24,1
21.38,38.99,57.61,0
22.65,46.32,57.92,0
23.44,43.3,57.84,0
21.4,45.71,60.98,0
21.12,51.22,59.75,0
21.48,42.67,57.69,0
20.25,44.99,62.75,0
22.21,43.67,64.05,0
24.77,43.2,55.44,0
20.32,43.51,59.9,0
90.86,87.06,103.73,1
22.83,49.82,59.69,0
20.69,42.92,64.21,0
22.84,42.21,61.14,0
20.84,46.97,58.51,0
21.48,48.25,65.0,0
21.72,50.84,61.67,0
21.17,46.34,58.74,0
23.92,45.17,59.98,0
23.45,43.11,61.51,0
21.28,42.71,60.6,0
20.19,43.41,69.8,0
24.59,43.06,62.36,0
19.62,45.06,59.61,0
21.93,47.97,61.72,0
19.48,51.03,55.84,0
21.84,43.84,67.23,0
23.64,43.09,63.05,0
20.9,32.38,56.25,0
23.11,49.0,59.86,0
23.57,41.61,62.73,0
21.37,40.07,62.53,0
90.66,90.58,106.61,1
24.58,41.17,57.24,0
21.59,45.03,57.99,0
21.97,48.03,59.7,0
19.69,46.71,58.31,0
23.17,34.64,63.51,0
21.23,39.58,65.5,0
19.65,42.46,63.79,0
22.18,36.9,63.1,0
22.13,57.14,57.06,0
21.38,45.73,57.94,0
19.73,42.02,55.91,0
91.53,84.4,98.75,1
20.1,43.99,62.48,0
21.12,48.83,58.97,0
22.71,43.84,59.77,0
22.28,52.22,62.32,0
21.61,42.89,59.42,0
22.49,42.3,59.58,0
22.56,42.8,59.42,0
23.14,40.29,60.29,0
20.84,55.6,60.69,0
20.99,42.41,57.44,0
88.31,87.45,108.27,1
22.62,39.79,59.44,0
23.71,42.2,57.69,0
23.11,40.22,65.55,0
20.77,40.09,63.43,0
23.06,46.79,61.97,0
21.07,34.66,60.04,0
24.42,41.1,61.75,0
24.8,47.3,57.34,0
24.89,51.8,66.96,0
25.02,43.2,53.72,0
22.48,41.41,62.13,0
21.76,39.26,63.26,0
19.6,41.23,63.34,0
21.74,53.2,62.98,0
22.91,43.56,67.16,0
23.08,43.68,64.91,0
23.21,43.87,60.64,0
22.03,47.89,64.48,0
21.84,35.35,57.68,0
23.2,43.43,62.7,0
18.91,50.37,64.83,0
22.29,52.49,60.2,0
21.26,40.39,64.8,0
21.8,45.75,63.42,0
19.88,46.66,59.45,0
91.38,83.65,94.27,1
20.43,51.19,64.13,0
22.64,52.89,61.2,0
22.75,52.91,62.11,0
22.78,47.22,64.02,0
78.25,91.85,96.28,1
23.96,45.6,62.87,0
19.55,43.92,56.85,0
22.39,48.67,64.25,0
24.53,46.88,64.44,0
20.65,46.38,61.76,0
20.14,48.53,55.43,0
22.2,49.79,64.0,0
21.67,50.59,59.46,0
21.6,40.68,61.37,0
23.89,48.63,64.62,0
20.26,44.49,59.95,0
22.18,48.61,59.02,0
22.45,39.7,63.97,0
23.95,52.42,67.17,0
23.16,50.38,64.8,0
20.13,43.16,59.52,0
21.49,41.41,65.53,0
23.62,40.29,65.98,0
21.6,42.56,61.02,0
22.12,46.89,63.62,0
20.81,38.51,59.56,0
24.74,43.82,58.75,0
93.79,92.44,96.81,1
20.59,43.99,59.53,0
25.03,45.31,59.22,0
21.39,44.33,61.44,0
22.34,49.07,60.44,0
23.21,45.87,58.17,0
22.83,45.76,58.68,0
20.49,42.58,59.06,0
21.64,51.64,64.4,0
23.04,42.99,58.88,0
23.44,46.13,61.7,0
21.89,45.52,63.58,0
21.91,45.44,61.97,0
21.07,43.65,58.62,0
22.2,43.55,62.57,0
93.66,92.93,102.36,1
21.66,43.95,58.98,0
23.32,45.46,63.32,0
20.03,46.5,61.38,0
22.08,50.33,59.02,0
21.77,43.08,64.28,0
21.26,44.87,55.49,0
21.8,43.95,56.51,0
22.07,47.24,63.33,0
23.93,43.6,60.45,0
19.49,45.25,62.2,0
20.37,39.78,60.32,0
23.39,40.77,62.66,0
22.46,43.96,64.27,0
20.71,44.84,61.02,0
22.15,52.08,64.78,0
20.66,41.85,58.29,0
22.44,48.47,60.0,0
21.24,42.13,60.3,0
22.13,51.82,65.89,0
21.6,40.38,63.06,0
23.0,40.48,63.36,0
21.15,47.34,59.71,0
22.74,46.41,57.8,0
23.87,48.37,60.98,0
24.35,51.76,58.62,0
21.28,43.9,57.39,0
25.18,40.81,64.53,0
21.47,48.62,63.42,0
19.35,48.12,57.68,0
19.87,44.05,59.48,0
22.66,46.18,63.89,0
20.93,45.25,62.78,0
22.46,50.53,65.06,0
22.31,44.26,59.35,0
24.19,43.3,63.25,0
22.36,37.78,63.63,0
23.39,43.69,60.02,0
21.46,51.49,58.48,0
22.58,46.62,58.85,0
19.55,52.16,65.32,0
21.84,41.39,64.48,0
23.1,38.44,63.47,0
22.87,48.58,59.29,0
23.66,38.57,60.89,0
24.48,46.87,61.05,0
23.0,44.06,59.35,0
78.91,87.53,96.24,1
22.42,44.32,62.51,0
23.16,40.09,62.42,0
21.21,47.97,57.94,0
21.55,40.8,63.22,0
22.02,47.57,58.74,0
21.28,44.66,61.4,0
85.14,91.91,100.23,1
23.23,49.46,59.73,0
86.76,83.63,94.58,1
21.16,43.04,58.16,0
23.11,46.48,61.82,0
17.53,44.45,59.19,0
21.5,37.59,55.64,0
24.63,45.72,59.26,0
24.02,45.88,57.15,0
23.81,46.38,62.72,0
21.14,38.98,63.02,0
22.2,43.66,62.54,0
20.36,47.57,62.54,0
93.87,87.73,109.8,1
21.95,51.69,63.02,0
23.31,47.39,59.99,0
19.87,51.19,61.73,0
18.82,49.62,61.42,0
23.61,42.78,63.53,0
19.71,39.05,58.65,0
21.73,46.47,60.64,0
20.91,39.53,64.06,0
24.92,47.13,55.61,0
26.25,54.65,61.09,0
21.07,42.11,63.43,0
19.85,48.41,65.21,0
22.55,45.32,62.51,0
20.59,40.03,60.32,0
23.37,43.78,62.32,0
20.05,40.36,64.6,0
23.85,49.27,59.03,0
22.01,44.77,64.32,0
23.23,44.93,65.02,0
21.13,47.64,59.37,0
21.39,45.58,59.6,0
19.36,44.16,62.9,0
24.27,40.07,60.37,0
18.66,46.29,58.56,0
22.25,47.08,62.17,0
21.66,40.1,65.97,0
21.51,43.9,57.68,0
27.52,38.24,61.17,0
25.6,49.79,59.95,0
20.72,40.41,67.1,0
21.39,43.05,65.12,0
21.66,46.94,62.53,0
22.68,48.04,61.3,0
20.66,51.11,58.44,0
20.75,41.2,63.8,0
22.9,42.57,61.97,0
23.25,49.83,61.25,0
19.99,38.12,59.82,0
78.77,89.62,102.38,1
22.17,40.87,59.74,0
20.65,42.53,69.28,0
22.77,39.28,61.66,0
22.56,40.72,63.28,0
20.98,42.85,61.04,0
19.61,47.09,61.76,0
20.78,43.68,59.69,0
22.25,47.72,63.42,0
21.15,43.0,63.17,0
21.34,41.94,60.78,0
20.2,45.05,59.42,0
94.07,87.58,109.4,1
22.01,44.22,62.77,0
23.62,41.07,58.34,0
22.34,37.49,64.61,0
22.12,41.2,58.84,0
23.14,43.52,61.62,0
22.11,41.77,66.52,0
21.84,48.95,61.53,0
20.12,53.02,62.06,0
21.0,43.78,62.0,0
21.15,48.93,58.05,0
22.55,42.41,65.65,0
24.46,44.61,61.17,0
23.29,38.85,61.05,0
22.58,41.49,58.14,0
18.28,46.86,57.38,0
23.68,45.76,67.13,0
21.46,39.35,59.75,0
23.01,49.95,57.8,0
20.03,44.57,61.31,0
22.23,45.5,61.33,0
22.79,39.16,64.77,0
23.71,40.32,63.51,0
22.31,42.32,65.94,0
21.64,47.27,64.34,0
21.28,45.88,57.25,0
21.28,39.85,62.8,0
23.06,46.69,69.96,0
21.75,47.64,61.27,0
20.74,51.52,59.84,0
23.62,49.17,55.89,0
24.88,51.94,60.47,0
21.44,51.15,60.15,0
23.33,42.34,62.26,0
24.11,42.48,64.7,0
23.58,45.28,66.46,0
21.68,44.0,57.92,0
23.24,45.05,61.7,0
23.38,43.24,67.65,0
20.78,48.22,69.35,0
20.01,38.07,65.32,0
23.04,43.42,55.05,0
23.41,52.37,65.03,0
25.01,41.27,64.12,0
25.33,42.85,62.29,0
21.86,53.92,67.35,0
23.87,44.66,54.92,0
22.14,42.43,62.39,0
22.87,48.78,61.91,0
22.96,46.31,58.24,0
23.33,52.03,66.48,0
20.31,50.09,64.31,0
22.84,47.73,62.03,0
23.17,45.23,54.56,0
21.96,44.4,59.38,0
20.1,47.52,63.74,0
18.81,44.87,61.26,0
20.76,47.89,60.74,0
22.15,47.1,64.85,0
24.04,40.64,63.91,0
19.85,43.62,62.45,0
23.11,46.16,61.11,0
21.83,43.45,61.01,0
21.79,39.79,61.87,0
21.14,49.28,63.52,0
22.68,49.02,63.94,0
20.28,46.38,61.0,0
22.14,47.24,57.5,0
23.01,38.95,61.19,0
21.78,56.81,65.75,0
25.17,48.92,65.02,0
22.3,46.1,53.74,0
17.86,51.03,57.52,0
24.04,40.7,65.2,0
19.88,43.58,60.92,0
22.77,38.65,61.13,0
22.32,45.02,60.66,0
24.14,37.7,60.89,0
21.32,47.64,66.45,0
21.08,46.52,59.09,0
22.2,44.53,62.38,0
88.16,90.55,92.88,1
22.67,42.61,63.26,0
22.34,43.97,59.52,0
21.97,44.59,59.39,0
21.38,41.89,61.47,0
22.79,45.61,64.49,0
24.93,42.38,65.57,0
20.89,34.29,62.22,0
20.75,38.82,60.7,0
23.41,40.22,65.52,0
22.74,42.25,60.57,0
19.38,35.31,59.0,0
22.74,47.23,63.25,0
24.07,46.01,60.92,0
22.43,47.94,60.12,0
20.19,47.57,66.7,0
20.4,43.35,63.84,0
21.01,54.37,62.68,0
26.37,55.59,59.78,0
22.15,47.5,68.39,0
22.23,41.13,59.23,0
21.7,40.32,61.72,0
23.68,44.47,65.55,0
19.19,40.59,63.99,0
22.71,47.47,65.62,0
21.21,47.06,64.2,0
22.88,40.93,59.43,0
20.12,49.53,54.96,0
21.09,45.14,62.51,0
21.12,36.1,62.49,0
21.67,43.92,67.68,0
22.61,41.66,57.56,0
22.6,42.57,61.89,0
21.8,41.12,64.98,0
20.72,41.93,61.66,0
22.01,49.9,62.27,0
22.28,44.9,63.74,0
19.93,46.61,61.23,0
22.58,47.1,56.56,0
21.54,41.92,63.75,0
17.81,40.17,62.69,0
24.25,40.5,57.12,0
23.22,47.17,61.04,0
80.91,87.5,99.81,1
21.83,37.76,59.62,0
21.56,44.79,63.45,0
24.93,43.78,62.14,0
24.87,41.14,61.28,0
21.85,40.98,69.04,0
22.03,38.68,61.04,0
22.36,45.45,67.68,0
23.07,42.83,62.06,0
21.18,44.24,58.51,0
23.52,46.42,63.45,0
20.84,48.86,61.16,0
23.18,45.59,65.48,0
21.92,48.97,60.85,0
21.66,43.57,58.06,0
20.18,47.01,62.86,0
20.36,40.11,61.42,0
83.24,85.4,96.86,1
22.65,46.67,65.02,0
21.71,45.5,61.19,0
22.53,43.22,64.64,0
21.52,46.09,67.3,0
20.1,42.81,61.2,0
22.82,47.59,60.92,0
22.02,40.95,63.64,0
21.99,48.01,59.15,0
20.58,47.67,63.59,0
20.97,49.84,62.89,0
20.74,48.17,56.55,0
22.87,47.65,63.9,0
21.67,55.27,60.26,0
21.41,40.63,60.01,0
21.49,46.62,59.26,0
20.15,42.91,57.65,0
21.36,49.26,61.03,0
20.85,46.25,60.05,0
19.4,41.04,63.91,0
22.11,50.86,60.85,0
19.42,49.56,61.8,0
18.63,44.63,60.65,0
20.25,39.6,66.92,0
21.59,43.71,62.52,0
19.82,44.27,61.28,0
21.33,41.37,62.13,0
18.1,48.09,62.15,0
20.04,44.38,59.1,0
21.26,45.75,58.04,0
21.81,45.74,64.46,0
22.95,52.09,66.75,0
21.37,49.08,62.92,0
23.66,39.28,63.76,0
21.15,51.93,66.38,0
23.93,43.94,60.39,0
22.04,47.48,64.06,0
23.62,45.46,65.04,0
20.99,41.71,66.07,0
22.38,41.68,60.37,0
22.69,51.43,62.39,0
21.5,46.78,60.61,0
20.87,45.82,64.39,0
20.6,40.49,59.64,0
20.33,51.31,57.93,0
20.15,43.38,65.96,0
22.5,46.49,61.35,0
22.9,40.85,61.79,0
21.28,46.71,58.96,0
20.26,50.09,62.0,0
22.83,47.68,61.05,0
22.15,47.16,62.1,0
23.73,43.93,57.44,0
22.07,47.48,59.06,0
24.49,46.3,61.37,0
23.16,47.17,64.89,0
22.19,39.97,63.12,0
22.48,46.7,59.43,0
24.31,46.65,53.3,0
20.7,48.22,57.62,0
23.64,44.98,58.79,0
24.25,51.91,61.8,0
22.74,40.06,59.21,0
23.91,46.1,63.42,0
22.14,46.35,60.56,0
22.98,42.21,66.19,0
21.68,52.86,66.51,0
21.79,51.83,60.78,0
25.01,44.62,66.2,0
24.15,43.2,56.53,0
21.22,40.85,59.9,0
21.45,39.59,63.26,0
23.51,47.66,60.76,0
25.47,48.39,61.18,0
91.16,90.99,105.16,1
21.27,41.77,65.42,0
22.72,42.51,62.89,0
22.64,41.8,58.58,0
21.09,41.63,65.78,0
79.69,91.76,100.27,1
23.01,41.63,69.55,0
22.02,44.2,60.52,0
23.89,52.81,61.34,0
24.16,39.0,66.68,0
20.98,47.07,61.32,0
20.96,44.95,61.87,0
22.72,47.12,61.83,0
21.81,49.88,53.85,0
22.39,46.13,58.39,0
23.63,41.8,67.71,0
22.37,38.38,68.33,0
25.5,44.49,61.93,0
19.77,47.35,60.81,0
21.38,41.92,56.52,0
24.02,48.94,59.5,0
21.21,44.13,63.51,0
23.64,47.56,58.68,0
20.79,42.16,56.58,0
21.42,49.58,57.03,0
21.85,53.05,64.15,0
21.27,45.06,57.97,0
22.01,56.66,60.77,0
24.01,50.86,59.4,0
21.4,45.79,54.57,0
22.56,45.16,61.93,0
22.43,46.16,58.54,0
20.45,44.97,61.63,0
21.41,42.6,60.39,0
20.99,44.81,63.33,0
20.26,39.96,57.75,0
24.13,47.5,61.27,0
19.12,48.66,63.65,0
21.0,42.83,61.74,0
19.54,43.37,57.5,0
23.75,43.58,62.99,0
19.66,49.87,65.74,0
23.95,40.5,67.35,0
22.5,50.81,63.85,0
23.46,47.05,59.75,0
23.36,42.93,63.7,0
19.85,42.13,62.48,0
92.67,83.67,100.49,1
23.77,50.44,67.62,0
18.86,42.11,61.82,0
20.44,39.48,64.41,0
23.28,46.82,55.54,0
21.96,48.78,54.02,0
23.52,46.88,60.83,0
24.84,44.52,61.88,0
20.82,43.67,59.6,0
20.83,38.12,62.22,0
24.06,41.04,62.01,0
22.17,45.39,64.75,0
24.64,38.15,66.39,0
22.02,44.73,60.61,0
22.13,49.64,71.5,0
23.88,52.52,65.73,0
19.69,44.23,56.34,0
24.92,46.77,62.91,0
23.73,47.35,54.89,0
23.54,44.76,64.6,0
21.25,38.79,61.01,0
23.09,47.04,66.99,0
22.5,46.99,59.0,0
22.32,47.66,61.55,0
21.93,47.01,64.5,0
23.91,44.62,61.19,0
21.69,46.54,62.03,0
23.41,43.63,59.91,0
23.5,45.79,57.24,0
22.74,37.98,63.28,0
24.82,45.57,63.58,0
21.91,41.08,65.04,0
20.99,43.47,62.24,0
21.71,48.54,60.13,0
24.33,40.78,61.57,0
22.39,47.57,65.41,0
21.71,45.6,61.25,0
21.16,46.25,64.24,0
24.04,46.2,62.07,0
23.25,43.65,61.67,0
22.65,47.03,64.74,0
20.79,47.29,56.94,0
22.28,41.3,58.68,0
21.52,41.03,61.96,0
21.56,47.55,66.13,0
20.41,49.9,61.8,0
26.05,44.97,65.55,0
23.29,48.61,55.87,0
23.06,44.94,65.05,0
19.8,49.11,57.09,0
19.73,41.02,59.85,0
89.91,94.21,102.14,1
18.86,49.5,70.26,0
20.71,45.17,60.7,0
22.04,45.95,65.6,0
93.6,83.02,94.35,1
24.52,41.23,61.72,0
22.28,50.99,59.43,0
24.44,37.19,56.98,0
24.55,47.73,63.51,0
24.01,53.15,63.98,0
18.32,49.83,69.02,0
24.38,41.96,62.67,0
23.97,42.86,66.29,0
21.52,35.33,64.84,0
21.53,46.0,61.83,0
25.45,40.01,62.7,0
23.9,49.2,65.84,0
22.9,44.73,62.97,0
21.57,39.64,57.2,0
21.89,48.02,64.1,0
22.48,48.95,62.02,0
25.06,43.4,59.08,0
22.06,48.67,64.04,0
20.67,40.04,62.61,0
22.5,44.02,64.52,0
22.82,46.1,58.55,0
23.72,46.42,61.21,0
20.7,41.99,69.03,0
22.69,46.8,60.88,0
22.27,47.5,60.44,0
19.73,44.69,64.43,0
23.86,46.6,62.93,0
21.27,42.0,63.1,0
21.19,43.43,63.81,0
22.15,51.71,64.85,0
20.61,47.78,61.3,0
21.44,48.31,67.73,0
20.89,46.04,59.9,0
22.23,51.19,63.89,0
23.18,46.88,54.3,0
20.97,37.76,60.1,0
20.38,47.42,64.28,0
20.74,43.4,62.18,0
21.61,40.39,66.37,0
20.42,43.53,60.96,0
24.02,55.21,67.37,0
21.53,34.43,66.14,0
24.11,44.9,63.17,0
21.0,46.28,61.43,0
20.93,47.14,61.46,0
23.64,46.27,57.92,0
20.64,47.0,64.38,0
23.6,53.46,59.47,0
22.99,46.95,59.31,0
21.69,41.58,64.32,0
23.17,45.75,64.54,0
23.61,53.15,63.52,0
22.19,51.6,67.62,0
91.9,84.55,97.05,1
20.47,44.4,60.71,0
24.69,53.09,56.75,0
22.98,40.01,64.16,0
22.67,52.24,61.71,0
19.47,47.08,58.74,0
21.33,49.41,65.86,0
24.2,47.57,62.36,0
22.59,42.41,55.54,0
22.91,43.88,67.52,0
21.49,43.45,64.84,0
22.28,48.55,67.45,0
21.47,46.94,65.93,0
20.47,44.14,64.89,0
18.51,40.46,64.7,0
20.31,44.51,65.06,0
91.27,91.51,92.16,1
20.78,40.67,64.28,0
22.06,41.43,69.37,0
20.71,46.79,60.67,0
22.93,41.71,56.98,0
23.44,47.87,58.98,0
19.54,41.7,58.71,0
22.42,45.91,66.28,0
21.84,44.56,66.72,0
21.74,47.17,62.62,0
18.8,46.75,58.16,0
20.99,39.2,56.19,0
17.7,41.54,63.46,0
90.04,88.58,95.42,1
22.32,49.87,63.42,0
18.81,37.28,61.73,0
22.68,43.23,63.28,0
22.45,47.43,57.25,0
21.42,41.73,64.38,0
22.75,42.53,66.95,0
21.92,48.33,64.01,0
20.64,36.68,58.39,0
23.36,41.98,63.98,0
20.91,52.4,63.96,0
22.47,48.91,56.08,0
20.62,42.43,66.35,0
19.89,45.44,63.89,0
82.65,91.42,95.03,1
23.91,38.22,62.33,0
20.4,41.27,55.61,0
24.22,47.59,62.47,0
23.32,45.31,62.97,0
21.15,42.88,60.38,0
21.56,46.74,59.02,0
23.34,46.51,59.74,0
21.72,39.66,58.71,0
24.67,40.26,67.39,0
23.38,54.01,64.66,0
21.25,44.7,60.43,0
21.23,43.7,59.09,0
92.9,83.84,101.63,1
94.91,89.93,103.76,1
89.73,86.25,98.84,1
23.62,42.72,62.28,0
21.13,42.53,59.67,0
20.12,43.29,61.0,0
23.89,48.9,63.09,0
22.5,45.85,63.9,0
21.0,44.61,61.28,0
86.44,83.12,108.8,1
20.8,50.97,62.08,0
23.14,39.88,62.77,0
22.53,44.69,60.63,0
22.53,56.89,61.04,0
23.61,45.52,62.76,0
22.41,41.72,61.9,0
21.33,52.5,63.67,0
22.68,48.3,58.13,0
22.8,51.13,65.04,0
18.88,50.98,61.59,0
23.47,46.78,57.87,0
23.76,49.03,68.69,0
23.29,40.38,64.02,0
21.59,42.72,59.94,0
89.64,92.58,109.52,1
22.97,46.72,61.3,0
23.12,45.89,60.16,0
24.15,45.58,58.09,0
24.21,44.18,60.08,0
23.55,49.87,64.49,0
20.72,49.95,57.7,0
23.9,46.34,61.92,0
23.61,51.48,65.62,0
19.57,42.03,62.12,0
23.01,45.88,60.11,0
20.81,38.05,63.37,0
23.01,41.59,64.58,0
23.19,48.3,63.86,0
22.65,45.0,58.69,0
20.73,42.28,61.89,0
23.36,43.83,64.01,0
22.36,39.83,60.46,0
20.69,39.7,65.82,0
23.66,40.91,66.74,0
21.52,49.69,61.73,0
21.56,49.04,65.68,0
23.61,48.42,64.65,0
25.2,38.28,63.39,0
23.21,47.59,67.12,0
20.73,45.61,58.75,0
22.78,44.42,58.31,0
93.9,92.58,100.69,1
22.01,47.2,61.11,0
21.9,42.92,58.91,0
23.32,41.06,61.92,0
24.2,41.58,60.86,0
25.82,42.95,62.47,0
21.23,38.68,60.59,0
24.22,42.78,55.18,0
22.64,50.33,61.3,0
23.34,50.76,61.49,0
19.69,44.85,61.35,0
22.67,39.84,62.48,0
19.84,48.29,63.34,0
20.97,46.74,58.59,0
80.47,90.05,95.6,1
22.65,47.79,61.98,0
24.87,43.13,66.82,0
91.84,81.54,107.62,1
23.63,40.05,59.95,0
21.59,45.99,59.64,0
23.33,43.23,69.88,0
20.9,44.39,61.84,0
20.1,40.21,65.87,0
19.94,43.38,57.84,0
20.05,43.43,63.27,0
18.18,47.67,66.08,0
22.83,49.26,59.73,0
23.11,48.62,64.9,0
20.86,50.5,62.98,0
22.72,53.81,64.19,0
21.08,41.05,59.46,0
21.38,43.83,63.93,0
23.62,46.97,58.78,0
22.94,45.5,64.04,0
21.32,47.15,62.06,0
20.16,50.03,54.44,0
89.37,86.69,108.28,1
19.26,38.03,60.91,0
20.8,48.72,61.0,0
21.32,53.62,63.27,0
20.69,43.87,62.3,0
22.64,49.49,63.72,0
21.71,44.53,61.91,0
20.76,38.95,64.08,0
20.82,38.94,60.9,0
22.34,39.3,66.62,0
21.08,41.53,62.68,0
24.51,47.38,58.33,0
21.3,44.78,64.97,0
21.75,45.3,60.28,0
20.36,40.06,58.59,0
21.82,43.52,63.28,0
21.69,44.46,63.21,0
20.61,46.53,60.19,0
20.56,47.61,64.26,0
18.35,42.12,64.79,0
23.77,46.8,57.34,0
23.81,43.41,60.55,0
88.14,88.06,109.05,1
21.74,44.91,55.51,0
20.16,48.01,60.23,0
21.93,46.33,60.3,0
22.9,37.56,66.14,0
19.2,40.1,62.91,0
22.62,45.75,61.47,0
20.29,49.04,65.16,0
19.65,39.14,60.64,0
23.5,43.18,65.73,0
21.14,47.62,61.73,0
22.06,46.17,66.84,0
22.43,43.19,61.34,0
18.94,42.84,63.99,0
22.92,49.88,65.24,0
19.51,41.97,61.44,0
22.53,45.73,65.54,0
87.89,86.08,102.62,1
22.21,40.25,60.8,0
19.45,46.21,60.58,0
22.8,44.65,59.53,0
20.5,44.74,57.58,0
21.97,46.92,58.12,0
20.38,44.61,65.15,0
25.3,51.39,61.01,0
21.33,47.18,60.92,0
22.04,47.62,62.54,0
20.91,48.45,61.11,0
22.13,42.2,66.18,0
23.37,38.34,61.69,0
23.87,42.83,59.65,0
22.93,40.86,57.34,0
24.29,40.15,66.82,0
19.97,45.61,60.36,0
21.99,50.08,64.01,0
22.55,48.5,61.69,0
21.26,47.39,57.56,0
20.98,45.37,65.01,0
78.73,88.6,94.9,1
24.41,50.06,62.95,0
21.95,47.52,65.92,0
21.47,51.33,62.56,0
21.87,46.66,53.06,0
23.48,48.61,66.96,0
22.77,37.88,63.83,0
24.0,44.41,59.29,0
21.09,43.44,60.92,0
